acclaimed 受欢迎的
apprentice 学徒
artist 艺术家
authentic 逼真的
avant-garde 前卫派
biographer 自传作家
cheerless 无精打采的
choreographer 舞蹈编排家
classic 经典的
clumsy 笨拙的
contemporary 当代的
critic 批评家
disciple 学徒
eccentric 古怪的
emotional 情绪的，情感的
emotive 感人的
erratic 奇怪的
feminist 女权主义者
figurehead 名誉领袖
genre 风格，体裁
genuine 真正的
household 家庭的，家喻户晓的
humanitarian 人道主义者
imagist 意象派诗人
immortal 不朽的，神
innocent 天真的，无罪的
inventor 发明家
lovelorn 相思病苦的
mechanic 机械工
minimalist 简单抽象派艺术
mortal 犯人
nervous 紧张的
nostalgia 怀旧主义，思乡
odd 怪诞的
outstanding 杰出的
patriarchal 家长的，族长的
people 人物
philanthropist 慈善家
